KYTREASNOX,TIDXFAM,TTERMTYPE,TTERMLBL,MCALDT,RMTREASNO,RMCRSPID,TMBIDYTM,TMASKYTM,TMYTM,TMDURATN
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2019-01-31,207289,20190305.400000,2.3598072304314E+00,2.3496467335524E+00,2.3547269703249E+00,33
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2019-02-28,207301,20190402.400000,2.4309333221232E+00,2.4207721718474E+00,2.4258527353167E+00,33
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2019-03-29,207319,20190430.400000,2.4257720667561E+00,2.4156116377576E+00,2.4206918409433E+00,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2019-04-30,207277,20190530.400000,2.4154516710362E+00,2.4052926758025E+00,2.4103721628162E+00,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2019-05-31,207342,20190702.400000,2.3546509643364E+00,2.3444911688461E+00,2.3495710552794E+00,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2019-06-28,207354,20190730.400000,2.0397393769296E+00,2.0245039244908E+00,2.0321216252724E+00,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2019-07-31,207376,20190903.400000,2.2582763681009E+00,2.2481161766773E+00,2.2531962603691E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2019-08-30,207380,20191001.400000,2.0905256881766E+00,2.0803682450246E+00,2.0854469552941E+00,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2019-09-30,207345,20191031.400000,1.8061067562503E+00,1.7959523466284E+00,1.8010295404926E+00,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2019-10-31,207418,20191203.400000,1.5218798656814E+00,1.5117270632226E+00,1.5168034528026E+00,33
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2019-11-29,207422,20191231.400000,1.6335302717718E+00,1.6284535732895E+00,1.6309919197061E+00,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2019-12-31,207306,20200130.400000,1.4202730982749E+00,1.4101224092100E+00,1.4151977431563E+00,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2020-01-31,207451,20200303.400000,1.5624585491150E+00,1.5573821669483E+00,1.5599203552077E+00,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2020-02-28,207463,20200331.400000,1.4507833599984E+00,1.4406316122290E+00,1.4457074748198E+00,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2020-03-31,207425,20200430.400000,9.1250342187434E-03,-1.0138884664413E-03,4.0555623148125E-03,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2020-04-30,207499,20200602.400000,8.1114085330580E-02,6.5904741209419E-02,7.3509387127300E-02,33
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2020-05-29,207511,20200630.400000,1.3181317157448E-01,1.2167315601705E-01,1.2674315252787E-01,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2020-06-30,207466,20200730.400000,1.2167275040576E-01,1.1153288978016E-01,1.1660280952945E-01,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2020-07-31,207534,20200901.400000,9.6323511494400E-02,8.6183811429362E-02,9.1253650194860E-02,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2020-08-31,207503,20201001.400000,9.6323384392167E-02,8.6183709678510E-02,9.1253536120203E-02,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2020-09-30,207538,20201103.400000,9.1253878344820E-02,8.1114175462929E-02,8.6184014932593E-02,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2020-10-30,207553,20201201.400000,8.1113995198558E-02,7.0974430338585E-02,7.6044201501583E-02,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2020-11-30,207455,20201231.400000,7.6044122284571E-02,6.5904622209175E-02,7.0974361332030E-02,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2020-12-31,207586,20210202.400000,5.5765294650994E-02,4.5625941041408E-02,5.0695606227506E-02,33
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2021-01-29,207601,20210302.400000,5.5765252050617E-02,5.0695571020946E-02,5.3230408719063E-02,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2021-02-26,207613,20210330.400000,3.5486663128647E-02,2.5347503862049E-02,3.0417072229596E-02,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2021-03-31,207629,20210504.400000,2.0277969292377E-02,1.0138936767162E-02,1.5208441060209E-02,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2021-04-30,207644,20210601.400000,1.0138933950917E-02,0.0000000000000E+00,5.0694557098449E-03,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2021-05-28,207656,20210629.400000,1.0138933950917E-02,0.0000000000000E+00,5.0694557098449E-03,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2021-06-30,207683,20210803.400000,4.0556321624190E-02,3.0417097577512E-02,3.5486697630526E-02,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2021-07-30,207695,20210831.400000,6.0834955613334E-02,5.0695571020946E-02,5.5765252050617E-02,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2021-08-31,207686,20210930.400000,4.5625855490172E-02,3.5486628626807E-02,4.0556231496392E-02,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2021-09-30,207748,20211101.400000,5.0695571020946E-02,4.0556276560321E-02,4.5625912524216E-02,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2021-10-29,207736,20211130.400000,5.5765252050617E-02,4.5625912524470E-02,5.0695571020946E-02,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2021-11-30,207649,20211230.400000,8.6183607927512E-02,7.6044043067692E-02,8.1113814935022E-02,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2021-12-31,207768,20220201.400000,5.5765252050617E-02,4.5625912524470E-02,5.0695571020946E-02,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2022-01-31,207755,20220303.400000,4.0556254028231E-02,3.0417059555473E-02,3.5486645877785E-02,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2022-02-28,207771,20220331.400000,7.6044122284571E-02,6.5904622209175E-02,7.0974361332030E-02,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2022-03-31,207813,20220503.400000,4.5625941041408E-02,3.5486680379646E-02,4.0556299092388E-02,33
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2022-04-29,207826,20220531.400000,3.5491632318021E-01,3.4477432407806E-01,3.4984531235651E-01,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2022-05-31,207816,20220630.400000,6.9978454067486E-01,6.7949526564081E-01,6.8963986086461E-01,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2022-06-30,207855,20220802.400000,1.1259896110762E+00,1.1158404419245E+00,1.1209150148594E+00,33
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2022-07-29,207867,20220830.400000,2.1717884898850E+00,2.1616303230530E+00,2.1667093951606E+00,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2022-08-31,207892,20221004.400000,2.3598835714313E+00,2.3497224183269E+00,2.3548029828571E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2022-09-30,207896,20221101.400000,2.7916078012962E+00,2.6594869170832E+00,2.7255454462113E+00,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2022-10-31,207801,20221201.400000,3.4624471483158E+00,3.4522784439382E+00,3.4573627851493E+00,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2022-11-30,207923,20230103.400000,3.9919964048214E+00,3.9767315214552E+00,3.9843639360062E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2022-12-30,207938,20230131.400000,4.0017338002145E+00,3.9813849370741E+00,3.9915593232659E+00,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2023-01-31,207926,20230302.400000,4.4998388502455E+00,4.4693098623425E+00,4.4845742605387E+00,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2023-02-28,207941,20230330.400000,4.4387816404634E+00,4.3980785361511E+00,4.4184299180939E+00,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2023-03-31,207981,20230502.400000,4.6734500224593E+00,4.6581793508507E+00,4.6658146610997E+00,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2023-04-28,207994,20230530.400000,4.1747137956394E+00,4.1645377755840E+00,4.1696257742636E+00,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2023-05-31,208008,20230705.400000,4.9595522631960E+00,4.9493650913572E+00,4.9544586648374E+00,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2023-06-30,208025,20230801.400000,5.1673119424502E+00,5.1571270631731E+00,5.1622194914438E+00,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2023-07-31,208011,20230831.400000,5.3349850627562E+00,5.3248001735322E+00,5.3298926071315E+00,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2023-08-31,208051,20231003.400000,5.3612362658546E+00,5.3510481599240E+00,5.3561422011586E+00,33
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2023-09-29,208067,20231031.400000,5.3710286283371E+00,5.3608419298768E+00,5.3659352677350E+00,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2023-10-31,207970,20231130.400000,5.3753290676947E+00,5.3651453279185E+00,5.3702371871515E+00,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2023-11-30,208094,20240102.400000,5.3510481599240E+00,5.3408601478367E+00,5.3459541421501E+00,33
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2023-12-29,208111,20240130.400000,5.3863088466087E+00,5.3761220116833E+00,5.3812154177737E+00,32
2000002,RISKFREE,90,CRSP Risk Free Rates - 3-Month (Nominal),2019-01-31,207262,20190502.400000,2.3897438080794E+00,2.3744448849330E+00,2.3820942735638E+00,91
2000002,RISKFREE,90,CRSP Risk Free Rates - 3-Month (Nominal),2019-02-28,207277,20190530.400000,2.4305437895589E+00,2.4254435649044E+00,2.4279936691251E+00,91
2000002,RISKFREE,90,CRSP Risk Free Rates - 3-Month (Nominal),2019-03-29,207291,20190627.400000,2.3845660533595E+00,2.3743675029501E+00,2.3794667460969E+00,90
2000002,RISKFREE,90,CRSP Risk Free Rates - 3-Month (Nominal),2019-04-30,207304,20190801.400000,2.4205042375236E+00,2.4103027583086E+00,2.4154034647704E+00,93
2000002,RISKFREE,90,CRSP Risk Free Rates - 3-Month (Nominal),2019-05-31,207321,20190829.400000,2.3437733904164E+00,2.3335758657602E+00,2.3386745960367E+00,90
2000002,RISKFREE,90,CRSP Risk Free Rates - 3-Month (Nominal),2019-06-28,207333,20190926.400000,2.0889121661804E+00,2.0736255846561E+00,2.0812688033937E+00,90
2000002,RISKFREE,90,CRSP Risk Free Rates - 3-Month (Nominal),2019-07-31,207345,20191031.400000,2.0533600777961E+00,1.9922157916785E+00,2.0227867568148E+00,92
2000002,RISKFREE,90,CRSP Risk Free Rates - 3-Month (Nominal),2019-08-30,207357,20191129.400000,1.9819720915844E+00,1.9615943837874E+00,1.9717831082756E+00,91
2000002,RISKFREE,90,CRSP Risk Free Rates - 3-Month (Nominal),2019-09-30,207370,20191226.400000,1.8137064233118E+00,1.8035237318781E+00,1.8086150467018E+00,87
2000002,RISKFREE,90,CRSP Risk Free Rates - 3-Month (Nominal),2019-10-31,207306,20200130.400000,1.5440793623501E+00,1.5339014964752E+00,1.5389903971298E+00,91
2000002,RISKFREE,90,CRSP Risk Free Rates - 3-Month (Nominal),2019-11-29,207323,20200227.400000,1.5745805016023E+00,1.5694913685744E+00,1.5720359271057E+00,90
2000002,RISKFREE,90,CRSP Risk Free Rates - 3-Month (Nominal),2019-12-31,207412,20200402.400000,1.5441447699748E+00,1.5390553740379E+00,1.5416000637567E+00,93
2000002,RISKFREE,90,CRSP Risk Free Rates - 3-Month (Nominal),2020-01-31,207425,20200430.400000,1.5542243526468E+00,1.5389579114197E+00,1.5465910601984E+00,90
2000002,RISKFREE,90,CRSP Risk Free Rates - 3-Month (Nominal),2020-02-28,207440,20200528.400000,1.2795162978388E+00,1.2693454980651E+00,1.2744308660682E+00,90
2000002,RISKFREE,90,CRSP Risk Free Rates - 3-Month (Nominal),2020-03-31,207454,20200702.400000,1.1154362701887E-01,9.6331265577025E-02,1.0393737259349E-01,93
2000002,RISKFREE,90,CRSP Risk Free Rates - 3-Month (Nominal),2020-04-30,207466,20200730.400000,1.0647246374166E-01,9.6331011318397E-02,1.0140170547781E-01,91
2000002,RISKFREE,90,CRSP Risk Free Rates - 3-Month (Nominal),2020-05-29,207485,20200827.400000,1.4704054159751E-01,1.4196929051977E-01,1.4450490813203E-01,90
2000002,RISKFREE,90,CRSP Risk Free Rates - 3-Month (Nominal),2020-06-30,207520,20200929.400000,1.9775707621777E-01,1.8761331550552E-01,1.9268516379477E-01,91
2000002,RISKFREE,90,CRSP Risk Free Rates - 3-Month (Nominal),2020-07-31,207524,20201029.400000,9.6330884189827E-02,8.6189713536961E-02,9.1260267165117E-02,90
